name,description,url,Caliber,System,Mag. Capacity,Barrel Length,Trigger Pull***,Weight_without_magazine,Weight_with_empty_magazine,Weight_with_loaded_magazine,Dimension_LENGTH (OVERALL)*,Dimension_SLIDE LENGTH,Dimension_WIDTH (OVERALL),Dimension_SLIDE WIDTH,Dimension_HEIGHT INCL. MAG.,Dimension_,Dimension_Sight Radius POLYMER,Dimension_Sight Radius STEEL,Dimension_Sight Radius GNS,Dimension_TRIGGER DISTANCE*
G17L,"The GLOCK 17L is an ideal competition pistol with a long barrel, a slotted and accurately balanced slide, long sight radius and a slightly lighter trigger pull for ultimate precision.",https://eu.glock.com/en/products/pistols/g17-l,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33 / 10,153 mm | 6.02 inch,24 N,without magazine | 675 g | 23.81 oz,with empty magazine | 755 g | 26.63 oz,with loaded magazine** | 960 g | 33.86 oz,242 mm | 9.53 inch,225 mm | 8.86 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,205 mm | 8.07 inch,204 mm | 8.03 inch,203 mm | 7.99 inch,72 mm | 2.83 inch
G17L,"As a long slide model, the G17L chambered in 9 mm Luger has the longest slide of all GLOCK Models and features the greatest sight radius for fast target acquisition. All its engineering features such as the extended ambidextrous slide stop lever, the extended reversible magazine catch and the modular beavertail backstrap system let you customize the pistol to your personal needs and preferences.",https://eu.glock.com/en/products/pistols/g17l-gen5-mos,9 mm Luger,Safe Action®,Standard: 17 | Optional: 10 / 24,153 mm I 6.02 inch,24 N,without magazine | 640 g I 22.58 oz,with empty magazine | 720 g I 25.40 oz,with loaded magazine** | 920 g I 32.45 oz,240 mm I 9.45 inch,225 mm I 8.86 inch,34 mm I 1.34 inch,25.5 mm I 1.00 inch,139 mm I 5.47 inch,,208 mm I 8.19 inch,207 mm I 8.15 inch,206 mm I 8.11 inch,70 mm I 2.76 inch
G18,"As a true fully automatic pistol the G18 is one of the most specialized GLOCK pistols. With an external fire selector at the rear of the slide you can switch from semi-automatic to full-automatic firing mode.

It comes with an extended 19 round magazine and can provide greater firepower with the optional. The rate of fire in full-automatic-mode is approximately .

Released in 1987 the pistol has the same characteristics like other previous models and the frame size of the service pistol classic G17.",https://eu.glock.com/en/products/pistols/g18,9 mm Luger,"Safe Action®
Semi-/Full-automatic firing mode",Standard: 19 | Optional: 17 / 24 / 31 / 33,114 mm | 4.49 inch,25 N,without magazine | 625 g | 22.05 oz,with empty magazine | 705 g | 24.87 oz,with loaded magazine** | 940 g | 33.16 oz,204 mm | 8.03 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,"29,5 mm | 1.16 inch",155 mm | 6.10 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,72 mm | 2.83 inch
G18C,"The GLOCK G18C comes with compensator slots in the barrel and slide. This should afford the shooter more control to the rapid-firing. With an external fire selector at the rear of the slide you can switch from semi-automatic to full-automatic firing mode.

It comes with an extended 19 round magazine and can provide greater firepower with the optional 33-round magazine. The rate of fire in full-automatic-mode is approximately 20 rounds per second.

With the frame size of the original model G17 the G18C provides the user stable shooting properties.",https://eu.glock.com/en/products/pistols/g18-c,9 mm Luger,"Safe Action®
Semi-/Full-automatic firing mode",Standard: 19 | Optional: 17 / 24 / 31 / 33,114 mm | 4.49 inch,25 N,without magazine | 590 g | 20.81 oz,with empty magazine | 670 g | 23.63 oz,with loaded magazine** | 905 g | 31.92 oz,204 mm | 8.03 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,"29,5 mm | 1.16 inch",155 mm | 6.10 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,72 mm | 2.83 inch
G19,"The GLOCK 19 in 9 mm Luger is ideal for a versatile role thanks to its reduced dimensions when compared to the standard sized option. In addition to its use as a conventional service pistol, it is ideal for use as a backup weapon or for concealed carry purpose.",https://eu.glock.com/en/products/pistols/g19,9 mm Luger,Safe Action®,Standard: 15 | Optional: 17 / 19 / 24 / 31 / 33 / 10,102 mm | 4.02 inch,28 N,without magazine | 600 g | 21.16 oz,with empty magazine | 670 g | 23.63 oz,with loaded magazine** | 855 g | 30.16 oz,187 mm | 7.36 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,"71,2 mm | 2.80 inch"
G19,"The GLOCK 19 Gen4 pistol in 9 mm Luger offers great firepower while allowing to shoot quick and accurately. It is ideal for a more versatile role due to its reduced dimensions, without sacrificing all-important magazine capacity. The Modular Beavertail Backstrap System makes it possible to instantly customize its grip to accommodate any hand size. The reversible magazine catch makes it ideal for left and right-handed shooters.",https://eu.glock.com/en/products/pistols/g19-gen4,9 mm Luger,Safe Action®,Standard: 15 | Optional: 17 / 19 / 24 / 31 / 33 / 10,102 mm | 4.02 inch,28 N,without magazine | 600 g | 21.16 oz,with empty magazine | 670 g | 23.63 oz,with loaded magazine** | 855 g | 30.16 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G19,"As quick-targeting reflex sights have made their way onto defensive carry guns, GLOCK developed the G19 Gen4 in MOS configuration. This makes mounting a reflex sight on the pistol’s slide without the need for a new slide or separate mounting System quick and easy. Adding to that, the Modular Beavertail Backstrap System makes it possible to instantly customize its grip to accommodate any hand size. The reversible magazine catch makes it ideal for left and right-handed shooters.",https://eu.glock.com/en/products/pistols/g19-gen4-mos,9 mm Luger,Safe Action®,Standard: 15 | Optional: 17 / 19 / 24 / 31 / 33 / 10,102 mm | 4.02 inch,28 N,without magazine | 600 g | 21.16 oz,with empty magazine | 670 g | 23.63 oz,with loaded magazine** | 855 g | 30.16 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,158 mm | 6.22 inch,157 mm | 6.18 inch,156 mm | 6.14 inch,70 mm | 2.76 inch
G19,"The GLOCK 19 Gen5 pistol in 9 mm Luger is ideal for a more versatile role due to its reduced dimensions. The new frame design without finger grooves still allows to instantly customize its grip to accommodate any hand size by mounting the different Beavertail Backstraps.

The slide has the superior GLOCK hard-surface  in non-reflective black. It comes with (FS) which provide an additional tactile surface choice when manipulating the slide giving the operator positive traction even with wet or sweaty hand. 

The reversible magazine catch and ambidextrous slide stop lever make it ideal for left and right-handed shooters.",https://eu.glock.com/en/products/pistols/g19-gen5,9 mm Luger,Safe Action®,Standard: 15 | Optional: 17 / 10 / 24,102 mm  | 4.02 inch,26 N,without magazine | 610 g | 21.52 oz,with empty magazine | 670 g | 23.63 oz,with loaded magazine** | 855 g | 30.16 oz,185 mm  | 7.28 inch,174 mm  | 6.85 inch,34 mm  | 1.34 inch,"25,5 mm  | 1.00 inch",128 mm  | 5.04 inch,,153 mm  | 6.02 inch,152 mm  | 5.98 inch,151 mm  | 5.94 inch,70 mm  | 2.76 inch
G19,"With the G19 Gen5 MOS GLOCK enhances the desirability of the already near-perfect Gen5 model with the addition of the Modular Optic System (MOS). The slide is precision machined to provide a mounting system for popular optic sights. With , you can quickly and easily mount miniature electronic sights to the rear of the Gen5 GLOCK slide, which has for easier and quicker manipulations.",https://eu.glock.com/en/products/pistols/g19-gen5-mos,9 mm Luger,Safe Action®,Standard: 15 | Optional: 17 / 10 / 24,102 mm  | 4.02 inch,26 N,without magazine | 605 g | 21.34 oz,with empty magazine | 675 g | 23.81 oz,with loaded magazine** | 850 g | 29.98 oz,185 mm  | 7.28 inch,174 mm  | 6.85 inch,34 mm  | 1.34 inch,"25,5 mm  | 1.00 inch",128 mm  | 5.04 inch,,157 mm  | 6.18 inch,156 mm  | 6.14 inch,155 mm  | 6.10 inch,70 mm  | 2.76 inch
G19X,"GLOCK's first ever ""Crossover"" pistol, the GLOCK 19X, combines the best features of two of its most popular and most trusted field-tested platforms. The full-size GLOCK 17 frame and the compact GLOCK 19 slide have joined forces to produce the ideal pistol for all conditions and all situations.

The G19X comes in the coyote color with the , finished with an improved to prevent corrosion. Additional features include the , no finger grooves, and lanyard clip. Included with the pistol is a standard 17-round magazine, two 17+2-round magazines and coyote-colored pistol case.",https://eu.glock.com/en/products/pistols/g19x-gns,9 mm Luger,Safe Action®,Standard: | Optional: 17 / 19 / 24,102 mm | 4.02 inch,26 N,without magazine | 625 g | 22.05 oz,with empty magazine | 704 g | 24.83 oz,with loaded magazine** | 890 g | 31.39 oz,189 mm | 7.44 inch,174 mm | 6.85 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,-,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G26,"Similar in size and weight to the small-frame snub-nose revolvers it has replaced, the GLOCK 26 fires the popular 9 mm Luger cartridge with minimum recoil and more on-target accuracy at a fast rate of fire. It’s an ideal backup for those who use the GLOCK 17 or GLOCK 19 for open carry, even more so since the larger 9mm magazines fit the G26 as well",https://eu.glock.com/en/products/pistols/g26,9 mm Luger,Safe Action®,Standard: 10 | Optional: 12 / 17 / 19 / 15 / 24 / 31 / 33 / 10,87 mm | 3.43 inch,28 N,without magazine | 550 g | 19.40 oz,with empty magazine | 610 g | 21.52 oz,with loaded magazine** | 730 g | 25.75 oz,165 mm | 6.50 inch,159 mm | 6.26 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",106 mm | 4.17 inch,,137 mm | 5.39 inch,136 mm | 5.35 inch,135 mm | 5.31 inch,72 mm | 2.83 inch
G26,"The GLOCK 26 Gen4 in 9 mm Luger is one of the most sought-after concealed carry pistols. The magazine capacity of 10 rounds is standard and the highly accurate firing characteristics explain why the G26 Gen4 is the mainstay backup option among security personnel and agencies worldwide. Of course, the G26 Gen4 comes with a reversible magazine catch, the Modular Beavertail Backstrap System and improved frame texturing for solid control despite the pistol’s size.",https://eu.glock.com/en/products/pistols/g26-gen4,9 mm Luger,Safe Action®,Standard: 10 | Optional: 12 / 15 / 17 / 19 / 24 / 31 / 33 / 10,87 mm | 3.43 inch,28 N,without magazine | 550 g | 19.40 oz,with empty magazine | 610 g | 21.52 oz,with loaded magazine** | 730 g | 25.75 oz,163 mm | 6.42 inch,159 mm | 6.26 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",106 mm | 4.17 inch,,137 mm | 5.39 inch,136 mm | 5.35 inch,135 mm | 5.31 inch,70 mm | 2.76 inch
G26,"The GLOCK 26 is now available in GLOCK's latest generation of perfection. A popular option for concealed carry, the GLOCK 26 Gen5 now features the GLOCK Marksman Barrel (GMB), delivering increased accuracy with polygonal rifling and an improved barrel crown. Other features include the removal of the finger grooves, an ambidextrous slide and the superior GLOCK hard-surface.  

It comes with (FS) which provide an additional tactile surface choice when manipulating the slide giving the operator positive traction even with wet or sweaty hand.",https://eu.glock.com/en/products/pistols/g26-gen5,9 mm Luger,Safe Action®,Standard: 10 | Optional: 12 / 15 / 17 / 19 / 24,87 mm | 3.43 inch,26 N,without magazine | 559 g | 19.72 oz,with empty magazine | 615 g | 21.69 oz,with loaded magazine** | 739 g | 26.07 oz,163 mm | 6.42 inch,159 mm | 6.26 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",106 mm | 4.17 inch,,137 mm | 5.39 inch,136 mm | 5.35 inch,135 mm | 5.31 inch,70 mm | 2.76 inch
G26,"The GLOCK 26 Gen5 is now available in MOS Configuration. A popular option for concealed carry, the GLOCK 26 Gen5 MOS features the GLOCK Marksman Barrel (GMB), delivering increased accuracy with polygonal rifling and an improved barrel crown. Other features include the removal of the finger grooves, an ambidextrous slide and the superior GLOCK hard-surface nDLC finish.  

It comes with front serrations (FS) which provide an additional tactile surface choice when manipulating the slide giving the operator positive traction even with wet or sweaty hand. 

This model comes with a GLOCK MOS adapter plate for easy mounting of optical sights.",https://eu.glock.com/en/products/pistols/g26-gen5-mos,9 mm Luger,Safe Action®,Standard: 10 | Optional: 12 / 15 / 17 / 19 / 24,87 mm | 3.43 inch,26 N,without magazine | 559 g | 19.72 oz,with empty magazine | 615 g | 21.69 oz,with loaded magazine** | 739 g | 26.07 oz,163 mm | 6.42 inch,159 mm | 6.26 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",106 mm | 4.17 inch,,141 mm | 5.55 inch,140 mm | 5.51 inch,139 mm | 5.47 inch,70 mm | 2.76 inch
G34,"Obtaining the greatest accuracy for target engagement was the decisive reason for the development of the GLOCK 34 with its extended barrel, longer slide dimensions and elongated distance between sights. This highly-accurate pistol has found widespread use as a competitive pistol for IPSC and other shooting sports, but is also a mainstay in many SWAT teams.",https://eu.glock.com/en/products/pistols/g34,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33 / 10,135 mm | 5.31 inch,24 N,without magazine | 655 g | 23.10 oz,with empty magazine | 735 g | 25.93 oz,with loaded magazine** | 945 g | 33.33 oz,224 mm | 8.82 inch,207 mm | 8.15 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,192 mm | 7.56 inch,191 mm | 7.52 inch,190 mm | 7.48 inch,72 mm | 2.83 inch
G34,"The GLOCK 34 Gen4 with its extended barrel, extra-long slide and elongated distance between sights, grants great accuracy and easy target acquisition. This highly-accurate pistol has found widespread use as a competitive pistol for IPSC and other shooting sports. The Modular Beavertail Backstrap System makes it possible to instantly customize its grip to accommodate any hand size. The reversible magazine catch makes it ideal for left and right-handed shooters.",https://eu.glock.com/en/products/pistols/g34-gen4,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33 / 10,135 mm | 5.31 inch,24 N,without magazine | 655 g | 23.10 oz,with empty magazine | 735 g | 25.93 oz,with loaded magazine** | 940 g | 33.16 oz,222 mm | 8.74 inch,207 mm | 8.15 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,192 mm | 7.56 inch,191 mm | 7.52 inch,190 mm | 7.48 inch,70 mm | 2.76 inch
G34,"The GLOCK 34 Gen4 in MOS configuration combines an extended barrel and slide and elongated distance between sights with the MOS concept, making it easy to mount a reflex sight on the pistol’s slide without the need for a new slide or separate mounting system. The Modular Beavertail Backstrap System makes it possible to instantly customize its grip to accommodate any hand size. The reversible magazine catch makes it ideal for left and right-handed shooters.",https://eu.glock.com/en/products/pistols/g34-gen4-mos,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33 / 10,135 mm | 5.31 inch,24 N,without magazine | 660 g | 23.28 oz,with empty magazine | 740 g | 26.10 oz,with loaded magazine** | 950 g | 33.51 oz,222 mm | 8.74 inch,207 mm | 8.15 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,191 mm | 7.52 inch,190 mm | 7.48 inch,189 mm | 7.44 inch,70 mm | 2.76 inch
G34,"The GLOCK 34 Gen5 MOS features an extended barrel and greater slide dimensions, making it a favorite among sport shooting competitors.",https://eu.glock.com/en/products/pistols/g34-gen5-mos,9 mm Luger,Safe Action®,Standard: 17 | Optional: 10 / 24,135 mm | 5.31 inch,24 N,without magazine | 665 g | 23.46 oz,with empty magazine | 743 g  | 26.21 oz,with loaded magazine** | 980 g | 34.57 oz,222 mm  | 8.74 inch,207 mm | 8.15 inch,34 mm  | 1.34 inch,"25,5 mm  | 1.0 inch",139 mm | 5.47 inch,,191 mm | 7.52 inch,190 mm | 7.48 inch,189 mm | 7.44 inch,70 mm | 2.76 inch
G43,"The already legendary G43 is a GLOCK Single stack, 9 mm Luger caliber pistol. It is ultra-concealable, accurate and a fantastic tool for all shooters regardless of one’s hand size. The grip has a built-in beaver tail design which allows the shooter to acquire a high and tight grip. The aggressive texture of the grip surface allows for comfortable and reliable operation of the pistol. The large magazine catch makes quick work of removing the six round magazine. Engineered based on the same superlative standards that GLOCK is famous for, the tiny G43 tolerates the same torture tests all its bigger brothers in the GLOCK pistol family withstand.",https://eu.glock.com/en/products/pistols/g43,9 mm Luger,Safe Action®,Standard: 6,"86,5 mm | 3.41 inch",24 N,without magazine | 460 g | 16.23 oz,with empty magazine | 510 g | 17.99 oz,with loaded magazine** | 585 g | 20.64 oz,159 mm | 6.26 inch,154 mm | 6.06 inch,27 mm | 1.06 inch,22 mm | 0.87 inch,108 mm | 4.25 inch,,133 mm | 5.24 inch,132 mm | 5.20 inch,131 mm | 5.16 inch,65 mm | 2.56 inch
G43X,,https://eu.glock.com/en/products/pistols/g43x-mos,9 mm Luger,Safe Action®,Standard: 10,87 mm | 3.41 inch,24 N,without magazine | 461 g | 16.26 oz,with empty magazine | 526 g | 18.55 oz,with loaded magazine** | 651 g | 22.96 oz,165 mm | 6.50 inch,154 mm | 6.06 inch,28 mm | 1.10 inch,22 mm | 0.87 inch,128 mm | 5.04 inch,,133 mm | 5.24 inch,132 mm | 5.20 inch,131 mm | 5.16 inch,67 mm | 2.64 inch
G43X,"Chambered in 9 mm Luger the G43X Rail features a compact Slimline frame with a slim mounting rail as well as a 10-round magazine capacity making it ideal for concealed carry.

The G43X Rail has the same compact-size grip length with a minimal profile and a built-in beaver tail as the G48 for a comfortably balanced, versatile grip that’s ideal for a variety of users.

The frame features the GLOCK Mounting rail slim for mounting tactical accessories and incorporates elements of the Slimline series such as the short trigger distance, a frame with a built-in beavertail, a reversible magazine catch and the incredibly accurate, match-grade GLOCK Marksman Barrel (GMB) of the Gen5 series. The G43X Rail also feature precision-milled front serrations.

The slim (01) magazine is built in reliable GLOCK style, it has an orange magazine follower for higher visibility and is specifically developed to ensure the 10 rds magazine capacity.

Engineered with the GLOCK perfection promise, this Slimline pistol model features the Safe Action System and will soon be available as a combo version with specific tactical light.",https://eu.glock.com/en/products/pistols/g43x-rail,9 mm Luger,Safe Action®,Standard: 10,87 mm | 3.41 inch,24 N,without magazine | 465 g | 16.40 oz,with empty magazine | 530 g | 18.70 oz,with loaded magazine** | 654 g | 23.07 oz,165 mm | 6.50 inch,154 mm | 6.06 inch,28 mm | 1.10 inch,22 mm | 0.87 inch,128 mm | 5.04 inch,,133 mm | 5.24 inch,132 mm | 5.20 inch,131 mm | 5.16 inch,67 mm | 2.64 inch
